EvaluationBodyId_anon,PersonId_anon,Country,Country_De,Country_Fr
c0254491-d413-449d-a3d5-f6fdb012eafb,ef5cd717-a32a-4223-a0b8-fdff4feae491,Israel,Israel,Israël
69bbaef9-c25c-4b7f-95c0-7b888f36ac55,1a97664f-6483-4587-b6e9-b75a4695ba48,Switzerland,Schweiz,Suisse
72c84ac7-e12c-4977-8058-61dacfefdc8f,1794a5dc-c326-43c9-9742-18add32a3d6c,Switzerland,Schweiz,Suisse
129d4134-597f-4cac-b801-83e3eade11d1,9beef031-09f6-4271-b4c0-ef8d6b30662f,Austria,Österreich,Autriche
cf381c68-4d49-4080-b788-f2001369bbb5,83d84382-2040-48d9-9cf7-21a53f86a8f4,Sweden,Schweden,Suède
c5d791d3-cf37-4f23-9bae-96972f6808a8,c0c6a633-6339-4b7b-8b70-e1ffa7eb44e9,Switzerland,Schweiz,Suisse
9d848f05-9ff7-4af7-ad8a-513cabc31cc8,a04c82b6-841f-4079-a66b-83122d048f08,Switzerland,Schweiz,Suisse
50a48a5c-aec9-4cd2-89f8-d27c29300902,a04c82b6-841f-4079-a66b-83122d048f08,Switzerland,Schweiz,Suisse
6976376e-9575-4972-916c-c70a6e3e3e53,a04c82b6-841f-4079-a66b-83122d048f08,Switzerland,Schweiz,Suisse
55e24273-e4b9-48c2-8174-47f7222aff5e,a04c82b6-841f-4079-a66b-83122d048f08,Switzerland,Schweiz,Suisse
9c81f3cf-9e3e-4a22-8c1b-43ef10fbfc16,e4c190f9-4e31-455a-8c9e-6dbafc67bfd4,Germany,Deutschland,Allemagne
374b751b-b68b-4e9b-82af-f33865c324eb,afd5a35f-bddc-4f20-b413-434b748a4f81,Switzerland,Schweiz,Suisse
4e8281bc-cbb7-4e4d-bec0-15ba1520e72c,9cb6e285-e14e-439b-8b66-3d3f654e94c7,USA,USA,États-Unis
1a9adb77-7ab4-48db-8b93-602bec03097a,cc70f130-998a-4d9c-b21b-c8c5e9665c95,Switzerland,Schweiz,Suisse
3d2de244-4c82-4d3e-977d-20fecca9cbc6,cc70f130-998a-4d9c-b21b-c8c5e9665c95,Switzerland,Schweiz,Suisse
17fd0255-f8e5-41e2-8228-570bf97f11c3,cc70f130-998a-4d9c-b21b-c8c5e9665c95,Switzerland,Schweiz,Suisse
0c2a89ba-36dc-4bc6-a5ad-2fe822490cc8,cdcc5b8a-7bea-4fff-bd8e-a470cfc7566c,UK,UK,UK
4262f563-7da4-4e97-aab6-5ab8a4dfc554,a027c9aa-56a3-4a48-9c19-9af6bd53f58e,Switzerland,Schweiz,Suisse
cf381c68-4d49-4080-b788-f2001369bbb5,ba2f7c74-df1d-4058-a3bb-e2dfc1a62a04,Hongkong,Hongkong,Hongkong
129d4134-597f-4cac-b801-83e3eade11d1,0143e786-ec17-4076-9143-c3352cd84cd8,Switzerland,Schweiz,Suisse
603141ea-50f1-4d93-b939-bc27bd0e846e,78358e69-8a67-4094-ad4f-e231b882bd3b,France,Frankreich,France
55e24273-e4b9-48c2-8174-47f7222aff5e,7bdce523-2c65-45e9-a9ea-11e28df52233,UK,UK,UK
dd6ed58f-4b14-4fce-a5f5-00c380e7592a,3f0153e7-0467-4077-add4-abba077cb9d3,Switzerland,Schweiz,Suisse
5e5033e6-0769-465b-804d-d23cd79afe23,6d4c621e-1eb1-4c05-92bb-ac856b5f36fd,Switzerland,Schweiz,Suisse
a116c543-3fe9-4b2b-974e-6a663b897123,cc70f130-998a-4d9c-b21b-c8c5e9665c95,Switzerland,Schweiz,Suisse
aa3d489f-33d0-4fc4-b8ed-830e3b6771e0,4ebb84ae-dfaa-46ff-b4fd-c9ea430f09f2,Switzerland,Schweiz,Suisse
a116c543-3fe9-4b2b-974e-6a663b897123,6d243188-ba0d-4025-8850-f2cfba49069c,Switzerland,Schweiz,Suisse
bb897d08-4bae-47e5-a127-058facff6bd4,ffd8ee72-0709-4bea-bd13-e3a05dad1e30,Switzerland,Schweiz,Suisse
73aceb2d-6d05-4f7f-ad08-4bfe963b0913,d9e488d2-2344-4940-a6da-13b7a3af763a,Switzerland,Schweiz,Suisse
bb897d08-4bae-47e5-a127-058facff6bd4,d9e488d2-2344-4940-a6da-13b7a3af763a,Switzerland,Schweiz,Suisse
c603d4f1-f880-49f9-a55b-74cc4ca692d7,a04c82b6-841f-4079-a66b-83122d048f08,Switzerland,Schweiz,Suisse
